Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Currency
2022-05-31,2,1330000,630,Ground out of 3,Carpet Area,Panakkukang,Denpasar,Unfurnished,Bachelors,1,Contact Owner,IDR
2022-06-10,2,3990000,900,1 out of 2,Carpet Area,Umbulharjo,Palembang,Semi-Furnished,Bachelors,2,Contact Owner,IDR
2022-06-24,1,1900000,270,1 out of 2,Carpet Area,Kelapa Gading,Malang,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-29,2,1368000,630,Ground out of 1,Carpet Area,Kebayoran Baru,Jakarta,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-12,3,2280000,1500,Ground out of 2,Carpet Area,Menteng,Surabaya,Furnished,Bachelors,2,Contact Owner,IDR
2022-06-26,1,950000,600,2 out of 5,Super Area,Cilandak,Bandung,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-04-30,2,1615000,700,4 out of 14,Carpet Area,Wonokromo,Medan,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-27,1,1140000,300,Ground out of 3,Super Area,Lowokwaru,Semarang,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-06,2,1900000,1300,Ground out of 1,Super Area,Panakkukang,Makassar,Semi-Furnished,Family,2,Contact Owner,IDR
2022-05-20,2,874000,400,3 out of 3,Carpet Area,Umbulharjo,Yogyakarta,Semi-Furnished,Bachelors,1,Contact Owner,IDR
2022-07-02,2,2280000,650,Ground out of 1,Super Area,Kelapa Gading,Denpasar,Unfurnished,Family,2,Contact Owner,IDR
2022-05-26,3,5700000,2000,Ground out of 2,Super Area,Kebayoran Baru,Palembang,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-12,3,2850000,1068,Ground out of 3,Super Area,Menteng,Malang,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-22,1,1425000,150,1 out of 1,Super Area,Cilandak,Jakarta,Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-25,1,1425000,450,2 out of 2,Carpet Area,Wonokromo,Surabaya,Unfurnished,Bachelors,1,Contact Owner,IDR
2022-07-03,2,950000,800,Ground out of 1,Carpet Area,Lowokwaru,Bandung,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-04-23,2,2850000,1000,Ground out of 2,Super Area,Panakkukang,Medan,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-14,2,2090000,900,5 out of 5,Super Area,Umbulharjo,Semarang,Semi-Furnished,Bachelors,1,Contact Owner,IDR
2022-05-27,1,1330000,600,Ground out of 2,Carpet Area,Kelapa Gading,Makassar,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-19,2,1140000,1200,1 out of 1,Super Area,Kebayoran Baru,Yogyakarta,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-19,2,1140000,1200,2 out of 2,Super Area,Menteng,Denpasar,Semi-Furnished,Bachelors,2,Contact Owner,IDR
2022-07-02,2,1330000,650,Ground out of 3,Super Area,Cilandak,Palembang,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-07-06,2,1615000,720,4 out of 4,Carpet Area,Wonokromo,Malang,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-07-02,1,950000,300,1 out of 3,Carpet Area,Lowokwaru,Jakarta,Unfurnished,Bachelors,1,Contact Owner,IDR
2022-06-21,3,5700000,1200,Ground out of 2,Carpet Area,Panakkukang,Surabaya,Unfurnished,Bachelors/Family,3,Contact Agent,IDR
2022-06-04,2,1900000,700,7 out of 8,Carpet Area,Umbulharjo,Bandung,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-24,3,5700000,2000,1 out of 3,Super Area,Kelapa Gading,Medan,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-14,1,665000,250,Ground out of 4,Super Area,Kebayoran Baru,Semarang,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-26,2,1520000,1100,Ground out of 3,Carpet Area,Menteng,Makassar,Unfurnished,Bachelors,1,Contact Owner,IDR
2022-07-02,1,950000,300,Ground out of 2,Carpet Area,Cilandak,Yogyakarta,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-05,2,1425000,600,Ground out of 2,Super Area,Wonokromo,Denpasar,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-18,2,1235000,800,Ground out of 2,Carpet Area,Lowokwaru,Palembang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-07,1,1425000,680,1 out of 3,Super Area,Panakkukang,Malang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-07,1,1425000,680,Ground out of 2,Super Area,Umbulharjo,Jakarta,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-26,2,3040000,850,1 out of 4,Carpet Area,Kelapa Gading,Surabaya,Semi-Furnished,Bachelors,1,Contact Agent,IDR
2022-06-26,2,3040000,850,1 out of 2,Carpet Area,Kebayoran Baru,Bandung,Semi-Furnished,Bachelors,1,Contact Agent,IDR
2022-05-30,2,1235000,700,Ground out of 2,Super Area,Menteng,Medan,Unfurnished,Bachelors,1,Contact Owner,IDR
2022-05-22,3,7600000,1500,Ground out of 2,Super Area,Cilandak,Semarang,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-18,2,2375000,950,1 out of 4,Super Area,Wonokromo,Makassar,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-08,2,1045000,500,Ground out of 2,Super Area,Lowokwaru,Yogyakarta,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-25,1,950000,450,2 out of 4,Carpet Area,Panakkukang,Denpasar,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-03,2,1235000,700,Ground out of 2,Super Area,Umbulharjo,Palembang,Unfurnished,Bachelors,1,Contact Owner,IDR
2022-05-12,1,1520000,500,1 out of 2,Super Area,Kelapa Gading,Malang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-01,3,2755000,1800,Ground out of 2,Super Area,Kebayoran Baru,Jakarta,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-23,1,1558000,500,1 out of 3,Carpet Area,Menteng,Surabaya,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-23,2,2850000,480,Ground out of 3,Carpet Area,Cilandak,Bandung,Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-21,6,3800000,1000,1 out of 1,Super Area,Wonokromo,Medan,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-22,2,1273000,800,1 out of 2,Super Area,Lowokwaru,Semarang,Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-27,1,1900000,435,2 out of 3,Super Area,Panakkukang,Makassar,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-07,2,1330000,700,Ground out of 2,Carpet Area,Umbulharjo,Yogyakarta,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-06-25,2,4180000,800,4 out of 4,Super Area,Kelapa Gading,Denpasar,Furnished,Bachelors/Family,1,Contact Agent,IDR
2022-06-27,2,1235000,450,1 out of 3,Super Area,Kebayoran Baru,Palembang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-31,2,1615000,550,2 out of 3,Carpet Area,Menteng,Malang,Semi-Furnished,Bachelors/Family,1,Contact Agent,IDR
2022-06-03,2,3420000,800,Ground out of 4,Carpet Area,Cilandak,Jakarta,Unfurnished,Bachelors,2,Contact Agent,IDR
2022-06-27,2,2280000,550,Ground out of 2,Carpet Area,Wonokromo,Surabaya,Semi-Furnished,Family,2,Contact Owner,IDR
2022-05-15,1,1710000,600,2 out of 4,Super Area,Lowokwaru,Bandung,Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-09,1,1140000,500,Ground out of 1,Super Area,Panakkukang,Medan,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-04-28,2,3800000,1000,1 out of 2,Super Area,Umbulharjo,Semarang,Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-23,1,950000,300,1 out of 2,Carpet Area,Kelapa Gading,Makassar,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-28,2,2280000,1200,1 out of 3,Super Area,Kebayoran Baru,Yogyakarta,Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-23,2,1900000,500,3 out of 4,Carpet Area,Menteng,Denpasar,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-04-29,4,3420000,1200,1 out of 2,Super Area,Cilandak,Palembang,Unfurnished,Family,2,Contact Owner,IDR
2022-06-13,2,2850000,900,1 out of 2,Carpet Area,Wonokromo,Malang,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-06-13,3,4180000,1300,Ground out of 2,Carpet Area,Lowokwaru,Jakarta,Unfurnished,Bachelors/Family,3,Contact Agent,IDR
2022-06-13,4,6650000,1600,1 out of 5,Carpet Area,Panakkukang,Surabaya,Unfurnished,Bachelors/Family,3,Contact Agent,IDR
2022-05-14,3,3990000,1450,Ground out of 1,Super Area,Umbulharjo,Bandung,Unfurnished,Family,2,Contact Owner,IDR
2022-07-06,2,4750000,1100,2 out of 2,Super Area,Kelapa Gading,Medan,Furnished,Bachelors,2,Contact Agent,IDR
2022-06-16,2,34200000,950,Ground out of 1,Carpet Area,Kebayoran Baru,Semarang,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-06,1,1140000,600,8 out of 5,Carpet Area,Menteng,Makassar,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-07-04,2,2660000,700,Ground out of 2,Carpet Area,Cilandak,Yogyakarta,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-15,3,1520000,750,Ground out of 2,Super Area,Wonokromo,Denpasar,Unfurnished,Family,1,Contact Owner,IDR
2022-05-04,2,1520000,1000,Ground out of 1,Super Area,Lowokwaru,Palembang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-04-25,1,1140000,220,Ground out of 2,Super Area,Panakkukang,Malang,Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-21,1,1520000,300,1 out of 3,Carpet Area,Umbulharjo,Jakarta,Semi-Furnished,Bachelors,1,Contact Agent,IDR
2022-06-27,1,1140000,300,Ground out of 1,Carpet Area,Kelapa Gading,Surabaya,Unfurnished,Bachelors/Family,1,Contact Agent,IDR
2022-07-02,1,3800000,700,1 out of 2,Super Area,Kebayoran Baru,Bandung,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-07-06,3,2280000,800,Ground out of 1,Super Area,Menteng,Medan,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-04-28,3,2850000,1600,1 out of 3,Super Area,Cilandak,Semarang,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-15,2,2660000,1000,1 out of 3,Carpet Area,Wonokromo,Makassar,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-30,1,950000,20,2 out of 3,Super Area,Lowokwaru,Yogyakarta,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-10,2,1330000,400,Ground out of 2,Carpet Area,Panakkukang,Denpasar,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-23,1,741000,200,2 out of 2,Super Area,Umbulharjo,Palembang,Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-09,3,2660000,840,1 out of 4,Carpet Area,Kelapa Gading,Malang,Unfurnished,Bachelors,2,Contact Owner,IDR
2022-06-19,1,1197000,300,1 out of 1,Carpet Area,Kebayoran Baru,Jakarta,Unfurnished,Bachelors/Family,1,Contact Agent,IDR
2022-07-03,2,2470000,550,1 out of 2,Carpet Area,Menteng,Surabaya,Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-07-03,1,1292000,300,1 out of 2,Carpet Area,Cilandak,Bandung,Unfurnished,Bachelors/Family,1,Contact Agent,IDR
2022-05-14,2,1520000,800,1 out of 1,Super Area,Wonokromo,Medan,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-10,2,1900000,740,Ground out of 6,Carpet Area,Lowokwaru,Semarang,Unfurnished,Bachelors,1,Contact Owner,IDR
2022-04-25,2,3420000,1300,1 out of 1,Super Area,Panakkukang,Makassar,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-13,2,1520000,650,Ground out of 1,Super Area,Umbulharjo,Yogyakarta,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-06,2,1520000,490,1 out of 1,Super Area,Kelapa Gading,Denpasar,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-08,1,893000,250,2 out of 2,Super Area,Kebayoran Baru,Palembang,Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-08,1,893000,250,Ground out of 1,Super Area,Menteng,Malang,Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-06,1,855000,450,1 out of 2,Super Area,Cilandak,Jakarta,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-30,1,1140000,300,Ground out of 1,Carpet Area,Wonokromo,Surabaya,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-24,2,3040000,750,1 out of 3,Super Area,Lowokwaru,Bandung,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-07-01,1,893000,250,1 out of 2,Super Area,Panakkukang,Medan,Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-17,2,2660000,751,3 out of 3,Carpet Area,Umbulharjo,Semarang,Unfurnished,Bachelors,1,Contact Owner,IDR
2022-06-26,2,1710000,900,Ground out of 2,Carpet Area,Kelapa Gading,Makassar,Semi-Furnished,Bachelors,1,Contact Owner,IDR
2022-06-23,2,950000,400,1 out of 3,Carpet Area,Kebayoran Baru,Yogyakarta,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-13,2,3325000,1000,Ground out of 2,Carpet Area,Menteng,Denpasar,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-06-11,2,1615000,1000,Ground out of 1,Carpet Area,Cilandak,Palembang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-26,3,2850000,1500,1 out of 1,Carpet Area,Wonokromo,Malang,Semi-Furnished,Family,2,Contact Owner,IDR
2022-04-25,2,2375000,750,1 out of 3,Carpet Area,Lowokwaru,Jakarta,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-11,1,2470000,1200,2 out of 4,Super Area,Panakkukang,Surabaya,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-06,2,1520000,700,Ground out of 1,Super Area,Umbulharjo,Bandung,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-10,2,1520000,700,4 out of 4,Carpet Area,Kelapa Gading,Medan,Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-21,2,1520000,1000,Ground out of 2,Super Area,Kebayoran Baru,Semarang,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-12,2,1330000,1200,1 out of 3,Super Area,Menteng,Makassar,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-05,2,418000,550,2 out of 3,Super Area,Cilandak,Yogyakarta,Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-25,2,1520000,800,Ground out of 4,Carpet Area,Wonokromo,Denpasar,Unfurnished,Bachelors,1,Contact Owner,IDR
2022-06-11,2,1045000,280,1 out of 3,Super Area,Lowokwaru,Palembang,Unfurnished,Bachelors,1,Contact Owner,IDR
2022-07-04,3,3800000,1100,Ground out of 2,Super Area,Panakkukang,Malang,Unfurnished,Bachelors/Family,3,Contact Owner,IDR
2022-05-10,2,1330000,950,Ground out of 2,Super Area,Umbulharjo,Jakarta,Unfurnished,Bachelors/Family,1,Contact Agent,IDR
2022-05-13,1,665000,250,1 out of 2,Super Area,Kelapa Gading,Surabaya,Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-10,2,950000,1000,Ground out of 2,Carpet Area,Kebayoran Baru,Bandung,Unfurnished,Bachelors,1,Contact Owner,IDR
2022-06-30,3,3800000,1000,Ground out of 2,Carpet Area,Menteng,Medan,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-27,2,1330000,650,Ground out of 2,Super Area,Cilandak,Semarang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-08,2,1900000,700,1 out of 2,Super Area,Wonokromo,Makassar,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-15,2,1330000,700,Ground out of 3,Carpet Area,Lowokwaru,Yogyakarta,Unfurnished,Bachelors,1,Contact Owner,IDR
2022-06-29,3,2280000,1000,Ground out of 3,Super Area,Panakkukang,Denpasar,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-13,2,2755000,900,1 out of 4,Carpet Area,Umbulharjo,Palembang,Unfurnished,Bachelors,2,Contact Owner,IDR
2022-05-25,1,1140000,700,1 out of 2,Super Area,Kelapa Gading,Malang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-07-04,2,1805000,700,1 out of 2,Super Area,Kebayoran Baru,Jakarta,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-27,2,1900000,450,2 out of 1,Carpet Area,Menteng,Surabaya,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-06,1,665000,120,Ground out of 3,Super Area,Cilandak,Bandung,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-01,2,1710000,800,1 out of 2,Super Area,Wonokromo,Medan,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-07,3,7600000,1220,2 out of 3,Carpet Area,Lowokwaru,Semarang,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-23,3,3135000,1100,Ground out of 3,Super Area,Panakkukang,Makassar,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-12,3,1520000,700,Ground out of 3,Carpet Area,Umbulharjo,Yogyakarta,Unfurnished,Family,2,Contact Owner,IDR
2022-05-10,2,2280000,800,Ground out of 3,Super Area,Kelapa Gading,Denpasar,Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-27,2,1235000,670,2 out of 2,Super Area,Kebayoran Baru,Palembang,Unfurnished,Family,1,Contact Owner,IDR
2022-04-30,4,7600000,1300,1 out of 2,Super Area,Menteng,Malang,Unfurnished,Bachelors/Family,3,Contact Owner,IDR
2022-05-06,1,950000,190,Ground out of 2,Super Area,Cilandak,Jakarta,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-24,2,1710000,700,Ground out of 2,Super Area,Wonokromo,Surabaya,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-17,1,1330000,240,Ground out of 4,Carpet Area,Lowokwaru,Bandung,Unfurnished,Bachelors,1,Contact Owner,IDR
2022-05-19,2,3420000,850,2 out of 4,Carpet Area,Panakkukang,Medan,Semi-Furnished,Family,1,Contact Owner,IDR
2022-05-26,1,1710000,950,1 out of 2,Super Area,Umbulharjo,Semarang,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-11,1,1045000,450,1 out of 2,Carpet Area,Kelapa Gading,Makassar,Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-08,2,1425000,800,Ground out of 2,Carpet Area,Kebayoran Baru,Yogyakarta,Unfurnished,Bachelors,1,Contact Owner,IDR
2022-07-02,2,760000,600,1 out of 2,Carpet Area,Menteng,Denpasar,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-30,3,1995000,800,2 out of 2,Carpet Area,Cilandak,Palembang,Unfurnished,Bachelors,2,Contact Owner,IDR
2022-07-03,3,2850000,1100,Ground out of 2,Carpet Area,Wonokromo,Malang,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-16,2,2850000,800,Ground out of 2,Carpet Area,Lowokwaru,Jakarta,Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-13,1,9500000,2200,2 out of 5,Super Area,Panakkukang,Surabaya,Furnished,Bachelors/Family,3,Contact Owner,IDR
2022-06-08,2,2280000,950,1 out of 1,Carpet Area,Umbulharjo,Bandung,Unfurnished,Bachelors,2,Contact Owner,IDR
2022-04-25,2,2090000,550,2 out of 3,Carpet Area,Kelapa Gading,Medan,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-04,2,2280000,1800,1 out of 1,Carpet Area,Kebayoran Baru,Semarang,Unfurnished,Bachelors,2,Contact Owner,IDR
2022-05-11,2,1520000,1000,Ground out of 2,Super Area,Menteng,Makassar,Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-27,2,3420000,600,Ground out of 3,Super Area,Cilandak,Yogyakarta,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-04-24,2,1520000,750,2 out of 4,Carpet Area,Wonokromo,Denpasar,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-10,2,1330000,685,2 out of 3,Super Area,Lowokwaru,Palembang,Unfurnished,Bachelors/Family,1,Contact Agent,IDR
2022-05-24,1,1235000,44,Ground out of 1,Carpet Area,Panakkukang,Malang,Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-10,4,2470000,1200,Ground out of 2,Carpet Area,Umbulharjo,Jakarta,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-05,2,1710000,500,Ground out of 2,Carpet Area,Kelapa Gading,Surabaya,Unfurnished,Bachelors,1,Contact Owner,IDR
2022-04-29,4,1900000,1110,2 out of 2,Carpet Area,Kebayoran Baru,Bandung,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-05,2,2280000,1000,1 out of 3,Super Area,Menteng,Medan,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-26,2,950000,392,Ground out of 2,Super Area,Cilandak,Semarang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-09,2,1140000,700,1 out of 2,Super Area,Wonokromo,Makassar,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-19,1,988000,750,2 out of 4,Super Area,Lowokwaru,Yogyakarta,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-07,3,2850000,1500,1 out of 2,Super Area,Panakkukang,Denpasar,Unfurnished,Family,2,Contact Owner,IDR
